projsym,method,abstract,mpdsector,paneldesc,nstrains,sexes,pophints,intervention,ages,pistring,projyear
Brayton1,"study archive","Spontaneous diseases.",phenoarchive,inbred,,both,,,,"Brayton C",2013
Brich1,"study archive","Protein tau hyperphosphorylation.",qtla,"QTL population",,f,"BALB/cByJ x C57BL/6J intercross",,3wks,"Brich J, Churchill GA",2003
Broad2,genotyping,"SNP profiling, 131,000+ genomic locations, 1-19,X.",snp,inbred,89,,,,,"Daly M, Wade CM",2009
Brockmann1,"study archive","Body, organ weights, litter size, abdominal fat, lipids, insulin, leptin.",qtla,"QTL population",,both,"DBA2J x NMRI8 and DBA2J x DU6i intercrosses",,3-6wks,"Brockmann GA, Churchill GA",2009
Broman1,"study archive","Gut length.",qtla,"QTL population",,both,"C3HeB/FeJ x C57BL/6J intercross",,,"Broman KW",2006
Brown1,"body weight",,pheno,inbred,14,both,,,10wks,"Brown RE, Gunn RK, Schellinck HM, Wong AA, O'Leary TP",2004
Brown1,"elevated plus maze","Locomotor, exploratory, and anxiety-related behavior.",pheno,inbred,14,both,,,10wks,"Brown RE, Gunn RK, Schellinck HM, Wong AA, O'Leary TP",2004
Brown1,"elevated zero maze","Locomotor, exploratory, and anxiety-related behavior.",pheno,inbred,14,both,,,10wks,"Brown RE, Gunn RK, Schellinck HM, Wong AA, O'Leary TP",2004
Brown1,"light-dark box","Anxiety, avoidance behavior.",pheno,inbred,14,both,,,10wks,"Brown RE, Gunn RK, Schellinck HM, Wong AA, O'Leary TP",2004
Brown1,"open field test","Locomotor, exploratory, and anxiety-related behavior.",pheno,inbred,14,both,,,10wks,"Brown RE, Gunn RK, Schellinck HM, Wong AA, O'Leary TP",2004
Brown2,"Barnes circular maze","Spatial learning and memory.",pheno,inbred,14,both,,,10-18wks,"Brown RE, Schellinck HM, Gunn RK, Wong AA, O'Leary TP",2004
Brown2,"Morris water maze","Spatial learning and memory.",pheno,inbred,14,both,,,10-18wks,"Brown RE, Schellinck HM, Gunn RK, Wong AA, O'Leary TP",2004
Brown2,rotarod,"Latency to fall from accelerating rotarod. 7 day trials.",pheno,inbred,14,both,,,10-18wks,"Brown RE, Schellinck HM, Gunn RK, Wong AA, O'Leary TP",2004
Brown2,"visual water box","Spatial learning and memory.",pheno,inbred,14,both,,,10-18wks,"Brown RE, Schellinck HM, Gunn RK, Wong AA, O'Leary TP",2004
Brown2,"olfactory discrimination task","Olfactory-related learning and memory.",pheno,inbred,14,both,,,10-18wks,"Brown RE, Schellinck HM, Gunn RK, Wong AA, O'Leary TP",2004
Brugnara1,"complete blood count",Hematology.,pheno,inbred,10,both,,,8wks,"Brugnara C, Peters LL",2013
Brugnara1,"ion transport assessment","Hematology red cell ion content, ion transport.",pheno,inbred,10,both,,,8wks,"Brugnara C, Peters LL",2013
Bubier2,"study archive","Intestinal microbiome study.",qtla,"CC pre",,both,,,,"Bubier JA",2014
Burke1,"study archive","Femur and vertebra morphology and strength. Monthly body weight 3 - 13 months.",qtla,"QTL population",,f,"(BALBxB6) F1 x (C3HxDBA/2) F1",,14-56wks,"Burke DT, Churchill GA",2012
CGD-MDA1,genotyping,"SNP profiling, 470,000+ genomic locations, 1-19,X,Y,MT.",snp,inbred,142,m,,,,"Center for Genome Dynamics (CGD)",2014
CGD-MDA2,genotyping,"SNP profiling, 470,000+ genomic locations, 1-19,X,Y,MT.",snp,"BXD w/par",92,m,,,,"Center for Genome Dynamics (CGD)",2014
CGD-MDA3,genotyping,"SNP profiling, 470,000+ genomic locations, 1-19,X,Y,MT.",snp,"ILSXISS w/par",69,m,,,,"Center for Genome Dynamics (CGD)",2014
CGD-MDA4,genotyping,"SNP profiling, 470,000+ genomic locations, 1-19,X,Y,MT.",snp,"AXB, BXA, BXH, CXB, AKXL w/par",72,m,,,,"Center for Genome Dynamics (CGD)",2014
CGD-MDA5,genotyping,"SNP profiling, 470,000+ genomic locations, 1-19,X,Y,MT.",snp,"B6.A, B6.PWD consomic panels",53,m,,,,"Center for Genome Dynamics (CGD)",2014
CGDpheno1,"metabolic panel","Clinical blood chemistry (plasma). 4h fast.",pheno,"inbred w/CC8",72,both,,,10-13wks,"Center for Genome Dynamics (CGD)",2009
CGDpheno1,"complete blood count",Hematology.,pheno,"inbred w/CC8",72,both,,,10-13wks,"Center for Genome Dynamics (CGD)",2009
CGDpheno1,"lipid profile","Cholesterol, HDL, triglycerides, free fatty acids. 4h fast, plasma.",pheno,"inbred w/CC8",72,both,,,10-13wks,"Center for Genome Dynamics (CGD)",2009
CGDpheno1,DXA,"Body mass, fat mass, lean mass, bone mineral density.",pheno,"inbred w/CC8",72,both,,,10-13wks,"Center for Genome Dynamics (CGD)",2009
CGDpheno1,"body size and weight","Body weight and length.",pheno,"inbred w/CC8",72,both,,,10-13wks,"Center for Genome Dynamics (CGD)",2009
CGDpheno2,"metabolic panel","Clinical blood chemistry (plasma), variation over time of controls. 4h fast.",onestrain,1strain,1,both,C57BL/6J,,,"Center for Genome Dynamics (CGD)",2009
CGDpheno2,"complete blood count","Hematology. Variation over time of controls.",onestrain,1strain,1,both,C57BL/6J,,,"Center for Genome Dynamics (CGD)",2009
CGDpheno2,"lipid profile","Cholesterol, HDL, triglycerides, free fatty acids. 4h fast, plasma. Variation over time of controls.",onestrain,1strain,1,both,C57BL/6J,,,"Center for Genome Dynamics (CGD)",2009
CGDpheno2,DXA,"Body mass, fat mass, lean mass, bone mineral density. Variation over time of controls.",onestrain,1strain,1,both,C57BL/6J,,,"Center for Genome Dynamics (CGD)",2009
CGDpheno2,"body size and weight","Body weight and length, variation over time of controls.",onestrain,1strain,1,both,C57BL/6J,,,"Center for Genome Dynamics (CGD)",2009
CGDpheno3,"metabolic panel","Glucose (plasma). 4h fast.",pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
CGDpheno3,"lipid profile","Cholesterol, HDL, triglycerides. 4h fast, plasma.",pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
CGDpheno3,"complete blood count",Hematology.,pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
CGDpheno3,"tail cuff","Heart rate and blood pressure. Conscious mice.",pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
CGDpheno3,ECG,"Wave amplitudes and intervals. Conscious.",pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
CGDpheno3,DXA,"Body mass, fat mass, lean mass, bone mineral density and content, bone area.",pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
CGDpheno3,"body weight",,pheno,"CC diallel w/par",62,both,,,8-16wks,"Center for Genome Dynamics (CGD)",2012
Chang1,"organ dimensions","Eye diameter.",pheno,inbred,17,both,,,10-13wks,"Chang B, Hawes NL, Davisson MT",2008
Chang1,electroretinography,"Photoreceptor measures: rod Awave, Bwave, cone Bwave.",pheno,inbred,17,both,,,10-13wks,"Chang B, Hawes NL, Davisson MT",2008
Chang2,"slit lamp","Eye morphology. Frequency rates of disorders.",pheno,"B6.PWD consomic w/par",28,both,,,44-61wks,"Chang B, Donahue L",2012
Chang2,ophthalmoscopy,"Retinal spots, hypopigmentation.",pheno,"B6.PWD consomic w/par",28,both,,,44-61wks,"Chang B, Donahue L",2012
Chen1,"immune cell quantification","Natural killer T cells in peripheral blood, spleen, thymus.",pheno,inbred,38,both,,,8-10wks,"Chen Y, Serreze DV",2011
Chesler1,"nociception assay","Tail clip, Von Frey, Hargreaves, tail withdrawal, hot plate.",pheno,BXD,61,both,,,7-15wks,"Chesler EJ, Philip VM, Lariviere WR",2010
Chesler2,"metabolic panel","Clinical blood chemistry. 16h fast.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"complete blood count",Hematology.,pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"colony observation","Reproduction, fecundity.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"open field test","Locomotor activity, exploratory, anxiety-related behavior. 10 min test.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"light-dark box","Anxiety, avoidance behavior. 10 min test.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"behavior observation","Wildness scoring.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"nociception assay","Hot plate and pressure on tail.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"monitoring system","Sleep patterns. Dark period, total, peak activity. Baseline and after sleep deprivation.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"body size and weight","Body weight, body length, tail length.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"fat pad weights","Gonadal fat pad weight.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler2,"organ weights","Heart, kidney weights.",pheno,"CC diallel w/par",62,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"metabolic panel","Clinical blood chemistry. 16h fast.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"complete blood count",Hematology.,pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"colony observation","Reproduction, fecundity.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"open field test","Locomotor activity, exploratory, anxiety-related behavior. 10 min test.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"light-dark box","Anxiety, avoidance behavior. 10 min test.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"behavior observation","Wildness scoring.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"nociception assay","Hot plate and pressure on tail.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"monitoring system","Sleep patterns. Dark period, total, peak activity. Baseline and after sleep deprivation.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"body size and weight","Body weight, tail length.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"fat pad weights","Gonadal fat pad weights.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"bone dimensions",Femur.,pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"organ weights","Heart, brain, kidney, spleen, gonadal fat pads, testicle weights.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler3,"organ dimensions","Kidney length and volume.",pheno,"CC pre w/par",367,both,,,7-15wks,"Chesler EJ, Philip VM, Voy BH",2011
Chesler4,"open field test","Locomotor activity, exploratory, anxiety-related behavior. 20 min test.",pheno,"DO population w/par",9,both,,,12-16wks,"Logan RW, Robledo RF, Recla JM, Chesler EJ",2013
Chesler4,"visual cliff","Anxiety, avoidance behavior. 20 min test.",pheno,"DO population w/par",9,both,,,12-16wks,"Logan RW, Robledo RF, Recla JM, Chesler EJ",2013
Chesler4,"light-dark box","Anxiety, avoidance behavior. 20 min test.",pheno,"DO population w/par",9,both,,,12-16wks,"Logan RW, Robledo RF, Recla JM, Chesler EJ",2013
Chesler4,"tail suspension test","Frequency climbing, time immobile, latency immobile. 5 min test.",pheno,"DO population w/par",9,both,,,12-16wks,"Logan RW, Robledo RF, Recla JM, Chesler EJ",2013
Chesler4,"nociception assay","Hot plate.",pheno,"DO population w/par",9,both,,,12-16wks,"Logan RW, Robledo RF, Recla JM, Chesler EJ",2013
Chesler4,"body weight",,pheno,"DO population w/par",9,both,,,12-16wks,"Logan RW, Robledo RF, Recla JM, Chesler EJ",2013
Chesler5,"study archive","Intestinal microbiome study.",phenoarchive,inbred,10,both,,,,"Chesler EJ, Bubier JA, Podar M",2012
Chesler6,"study archive","Sensitivity to ethanol. Baseline and ethanol.",qtla,"QTL population",,both,"C57BL/6J x 129S1/SvImJ",ethanol,9-34wks,"Chesler EJ",2012
Cheverud1,"body weight","Body weight and growth curve from age 1wk to 22wks (pre-wean, post-wean, adult). High-fat diet (17wks) vs. control.",pheno,"LGXSM w/par",19,both,,"high-fat diet",12-16wks,"Cheverud JM",2004
Cheverud1,"fat pad weights","High-fat diet (17wks) vs. control.",pheno,"LGXSM w/par",19,both,,"high-fat diet",12-16wks,"Cheverud JM",2004
Cheverud1,"glucose tolerance","High-fat diet (17wks) vs. control. 0 to 120 min after 10% glucose i.p. 4h fast.",pheno,"LGXSM w/par",19,both,,"high-fat diet",12-16wks,"Cheverud JM",2004
Cheverud1,"lipid profile","Cholesterol, triglycerides, free fatty acids. High-fat diet (17wks) vs. control. 4h fast, serum.",pheno,"LGXSM w/par",19,both,,"high-fat diet",12-16wks,"Cheverud JM",2004
Cheverud1,"organ weights","Heart, liver, kidney, spleen weights after high-fat diet (17wks) vs. control.",pheno,"LGXSM w/par",19,both,,"high-fat diet",12-16wks,"Cheverud JM",2004
Cheverud1,"hormone quantification","Insulin, leptin.",pheno,"LGXSM w/par",19,both,,"high-fat diet",12-16wks,"Cheverud JM",2004
Churchill1,DXA,"Body mass, fat mass, lean mass, bone mineral density and content, bone area.",pheno,"F1 8way",63,both,,,7-8wks,"Churchill GA, Baldwin C",2004
Churchill1,"organ dimensions","Ear length (pinal).",pheno,"F1 8way",63,both,,,7-8wks,"Churchill GA, Baldwin C",2004
Churchill1,"muscle weights","Quadriceps muscle.",pheno,"F1 8way",63,both,,,7-8wks,"Churchill GA, Baldwin C",2004
Clemens1,"study archive","Immunosuppression of contact hypersensitivity after ultraviolet light exposure",qtla,"QTL population",,both,"BALB/cAnNCrl x C57BL/6NCrl backcross","ultraviolet light",9-30wks,"Clemens KE, Churchill GA",2000
Collins1,"complete blood count",Hematology.,pheno,"CC pre w/par",139,m,,,10-14wks,"Collins FS",2012
Cowell1,"health assessment","Survival rate, Staphylococcus aureus.",pheno,inbred,13,f,,"Staphylococcus aureus",8wks,"Cowell LG, Fowler VG",2012
Cowell1,"hormone quantification","Interleukin 6 levels (serum) after infection with Staphylococcus aureus. Kidney and peritoneal fluid.",pheno,inbred,13,f,,"Staphylococcus aureus",8wks,"Cowell LG, Fowler VG",2012
Cowell1,"in vitro assay","Bacterial load after infection with Staphylococcus aureus. Kidney and peritoneal fluid. In vitro assay.",pheno,inbred,13,f,,"Staphylococcus aureus",8wks,"Cowell LG, Fowler VG",2012
Crabbe1,"balance beam","Ethanol i.p. (several doses) vs. control (saline). Missteps count. 3 beam lengths.",pheno,inbred,8,both,,ethanol,8wks,"Crabbe JC, Wahlsten D",2003
Crabbe1,"grid test","Ethanol injection (several doses) vs. control (saline). Grid habituation, missteps rate.",pheno,inbred,8,both,,ethanol,8wks,"Crabbe JC, Wahlsten D",2003
Crabbe1,"body weight",,pheno,inbred,8,both,,ethanol,8wks,"Crabbe JC, Wahlsten D",2003
Crabbe2,rotarod,"Latency to fall from 5 rpm rotarod immediately after diazepam injection.",pheno,inbred,15,both,,diazepam,6-7wks,"Crabbe JC, Gallaher EJ, Belknap JK",1998
Crabbe2,"drug and metabolite quantification","Diazepam (and metabolite) concentration in brain tissue immediately after diazepam injection and rotarod.",pheno,inbred,15,both,,diazepam,6-7wks,"Crabbe JC, Gallaher EJ, Belknap JK",1998
Crabbe2,"monitoring system","Locomotor activity. Baseline vs. immediately after Diazepam injection (several doses). 15 min test.",pheno,inbred,15,both,,diazepam,6-7wks,"Crabbe JC, Gallaher EJ, Belknap JK",1998
Crabbe2,"body temperature","Baseline vs. 30 min after diazepam injection (several doses).",pheno,inbred,15,both,,diazepam,6-7wks,"Crabbe JC, Gallaher EJ, Belknap JK",1998
Crabbe3,"body weight",,pheno,inbred,22,both,,ethanol,9-17wks,"Crabbe JC, Wahlsten D",2003
Crabbe3,rotarod,"Baseline and ethanol i.p. 3 fixed speeds (several doses) and accelerating.",pheno,inbred,22,both,,ethanol,9-17wks,"Crabbe JC, Wahlsten D",2003
Crabbe4,"dowel balance test","Latency to fall 0 min and 30 min post-injection, 2 widths. Ethanol 2 g/kg.",pheno,inbred,21,both,,ethanol,9-17wks,"Crabbe JC, Metten P, Wahlsten D",2003
Crabbe4,"vertical wire mesh","Latency to fall 30 min post-injection. Ethanol 2 g/kg i.p.",pheno,inbred,21,both,,ethanol,9-17wks,"Crabbe JC, Metten P, Wahlsten D",2003
Crabbe4,"grip strength","Baseline vs. 30 min after ethanol 2 g/kg i.p.",pheno,inbred,21,both,,ethanol,9-17wks,"Crabbe JC, Metten P, Wahlsten D",2003
Crabbe4,"alcohol quantification","Blood alcohol concentration after ethanol 2 g/kg i.p., several timepoints.",pheno,inbred,21,both,,ethanol,9-17wks,"Crabbe JC, Metten P, Wahlsten D",2003
Crabbe5,"parallel rod floor test","Parallel rod balance test, baseline vs. ethanol 2 g/kg i.p..",pheno,inbred,8,both,,ethanol,7-14wks,"Crabbe JC",2005
Crowley1,"body weight","Baseline vs. after haloperidol 60d implant.",pheno,"inbred w/CC8",27,m,,haloperidol,9-28wks,"Crowley JJ, McLeod HL, Sullivan PF",2012
Crowley1,"drug and metabolite quantification","Haloperidol concentration (plasma). Baseline vs. during and after haloperidol 60d implant (several timepoints).",pheno,"inbred w/CC8",27,m,,haloperidol,9-28wks,"Crowley JJ, McLeod HL, Sullivan PF",2012
Crowley1,"inclined screen test","Baseline vs. during and after haloperidol 60d implant (several timepoints).",pheno,"inbred w/CC8",27,m,,haloperidol,9-28wks,"Crowley JJ, McLeod HL, Sullivan PF",2012
Crowley1,"open field test","Locomotor activity, exploratory behavior, involuntary movement. Baseline vs. haloperidol 60d implant (several timepoints). 60 min test.",pheno,"inbred w/CC8",27,m,,haloperidol,9-28wks,"Crowley JJ, McLeod HL, Sullivan PF",2012
Crowley1,"behavior observation","Observed involuntary repetitive movement. Baseline vs. during and after haloperidol 60d implant (several timepoints).",pheno,"inbred w/CC8",27,m,,haloperidol,9-28wks,"Crowley JJ, McLeod HL, Sullivan PF",2012
Crusio1,"body weight",,pheno,"BXD w/par",55,both,,,10-16wks,"Delprato A, Crusio WE",2018
Crusio1,"open field test","Locomotor activity and exploratory behavior. 20 min test.",pheno,"BXD w/par",55,both,,,10-16wks,"Delprato A, Crusio WE",2018
Crusio1,"radial maze","Spatial learning.",pheno,"BXD w/par",55,both,,,10-16wks,"Delprato A, Crusio WE",2018
Crusio1,"behavior observation","Inter-male agression.",pheno,"BXD w/par",55,both,,,10-16wks,"Delprato A, Crusio WE",2018
Crusio1,"organ weights","Brain weight.",pheno,"BXD w/par",55,both,,,10-16wks,"Delprato A, Crusio WE",2018
Crusio1,histopathology,"Hippocampal histology.",pheno,"BXD w/par",55,both,,,10-16wks,"Delprato A, Crusio WE",2018
Davidson1,"study archive","Exencephaly, neural tube defects in embryos.",qtla,"QTL population",,both,"BALB/cJ x FVB/NJ reciprocal backcross",,embryo,"Davidson CE, Churchill GA",2007
Deschepper1,"body weight",,pheno,inbred,13,both,,,10wks,"Deschepper CF, Gallo-Payet N",2004
Deschepper1,"organ weights","Heart, kidney, thymus, adrena weights.",pheno,inbred,13,both,,,10wks,"Deschepper CF, Gallo-Payet N",2004
Deschepper1,"tail cuff","Blood pressure.",pheno,inbred,13,both,,,10wks,"Deschepper CF, Gallo-Payet N",2004
Dickson1,"operant conditioning chamber","Sign tracking and goal tracking paradigm with Pavlovian conditioned approach.",pheno,inbred,5,both,,,12-20wks,"Dickson PE, Chesler EJ",2015
Dickson2,"open field test","Locomotor activity and exploratory behavior. 20 min test.",pheno,"DO population",1,both,,cocaine,12-16wks,"Dickson PE, Chesler EJ",2015
Dickson2,"hole board test","Exploratory behavior. 10 min test.",pheno,"DO population",1,both,,cocaine,12-16wks,"Dickson PE, Chesler EJ",2015
Dickson2,"monitoring system","Novelty preference test (preference for novel side vs. familiar side). 10 min test.",pheno,"DO population",1,both,,cocaine,12-16wks,"Dickson PE, Chesler EJ",2015
Dickson2,"operant conditioning chamber","Intravenous self-administration of cocaine via activation of levers.",pheno,"DO population",1,both,,cocaine,12-16wks,"Dickson PE, Chesler EJ",2015
DiCurzio1,"body weight",,pheno,"BXD w/par",66,both,,,10wks,"Di Curzio DL, Goldowitz D",2010
DiCurzio1,"organ weights","Adrenal weight.",pheno,"BXD w/par",66,both,,,10wks,"Di Curzio DL, Goldowitz D",2010
DiCurzio1,histopathology,"Adrenal glands.",pheno,"BXD w/par",66,both,,,10wks,"Di Curzio DL, Goldowitz D",2010
Dietrich1,"in vitro assay","Bacillus anthracis lethal toxin (anthrax) susceptibility.",pheno,inbred,50,f,,"Bacillus anthracis lethal toxin",6-8wks*,"Dietrich WF",1998
DiPetrillo1,urinalysis,"Microalbumin, creatinine, ratio.",pheno,"inbred w/CC7",34,m,,,10wks,"DiPetrillo K",2012
DiPetrillo2,urinalysis,"Microalbumin, creatinine, ratio.",pheno,"CC pre w/par",163,m,,,10wks,"DiPetrillo K",2012
DiPetrillo3,"study archive","Blood pressure (tail cuff), heart rate, heart weight.",qtla,"QTL population",,both,"C3H x SWR intercross F2 progeny",,8wks,"DiPetrillo K",2004
Donahue1,DXA,"Body mass, fat mass, lean mass, bone mineral density and content, craniofacial dimensions.",pheno,"inbred w/CC7",30,both,,,15-16wks,"Donahue L",2002
